artifact,full_path,bytes,sha256,role,sibling_or_recorded_zip_sha256,match,classification
cetech-woocommerce-delivery-engine-1.0.0-dev.blocks-snapshot.1.zip,C:\Users\Jane\Desktop\cetech-woocommerce-delivery-engine-1.0.0-dev.blocks-snapshot.1.zip,1385101,092f3144e2a4b4df474c91513b6a282af08ccc817a5fa007f1f94d5d5229c401,DESKTOP_ZIP,092f3144e2a4b4df474c91513b6a282af08ccc817a5fa007f1f94d5d5229c401,MATCH,RECOVERED_QUALIFICATION_INPUT
cetech-woocommerce-delivery-engine-1.0.0-dev.cartstate.1.zip,C:\Users\Jane\Desktop\cetech-woocommerce-delivery-engine-1.0.0-dev.cartstate.1.zip,1401258,5c72a87bdba7f77d2d2b66f7812f12fc448a2f84dc51748ab6c266d6a3175ecc,DESKTOP_ZIP,5c72a87bdba7f77d2d2b66f7812f12fc448a2f84dc51748ab6c266d6a3175ecc,MATCH,RECOVERED_QUALIFICATION_INPUT
cetech-woocommerce-delivery-engine-1.0.0-dev.integrated.1.zip,C:\Users\Jane\Desktop\cetech-woocommerce-delivery-engine-1.0.0-dev.integrated.1.zip,1475971,571f738aa263676d64be6d285686a10a5fea2c48245449b55fe2240466a2d247,DESKTOP_ZIP,571f738aa263676d64be6d285686a10a5fea2c48245449b55fe2240466a2d247,MATCH,SUPERSEDED_PRESERVE
cetech-woocommerce-delivery-engine-1.0.0-dev.integrated.2.zip,C:\Users\Jane\Desktop\cetech-woocommerce-delivery-engine-1.0.0-dev.integrated.2.zip,1484938,a16a7840f32c8aa95fde3d4ef25c97c39ec995fe1d4ee6036fbb03b8d1a1a9c9,DESKTOP_ZIP,a16a7840f32c8aa95fde3d4ef25c97c39ec995fe1d4ee6036fbb03b8d1a1a9c9,MATCH,RECOVERED_QUALIFICATION_INPUT
cetech-woocommerce-delivery-engine-1.0.0-dev.peritem.1.zip,C:\Users\Jane\Desktop\cetech-woocommerce-delivery-engine-1.0.0-dev.peritem.1.zip,1467494,898db75f2baf1236bdaf216189a15c148f500b24189ba3c374e964d729b6e806,DESKTOP_ZIP,898db75f2baf1236bdaf216189a15c148f500b24189ba3c374e964d729b6e806,MATCH,RECOVERED_QUALIFICATION_INPUT
cetech-woocommerce-delivery-engine-1.0.0-dev.peritem.1.zip.sha256,C:\Users\Jane\Desktop\cetech-woocommerce-delivery-engine-1.0.0-dev.peritem.1.zip.sha256,124,77e98951f6017b690795ec8d68151618d8d9ad7381cc5befac89720b818ffcef,DESKTOP_SIDECAR,898db75f2baf1236bdaf216189a15c148f500b24189ba3c374e964d729b6e806,MATCH,RECOVERED_QUALIFICATION_INPUT
cetech-woocommerce-delivery-engine-1.0.0-dev.wcfm.1.zip,C:\Users\Jane\Desktop\cetech-woocommerce-delivery-engine-1.0.0-dev.wcfm.1.zip,1387575,fdf9f030e777c1e64c1a0a18bf649788325b61e03adae8aa19b85ed96c948c0d,DESKTOP_ZIP,fdf9f030e777c1e64c1a0a18bf649788325b61e03adae8aa19b85ed96c948c0d,MATCH,RECOVERED_QUALIFICATION_INPUT
cetech-woocommerce-delivery-engine-1.0.0-dev.wpml.1.zip,C:\Users\Jane\Desktop\cetech-woocommerce-delivery-engine-1.0.0-dev.wpml.1.zip,1396670,98d29a132b008e3ef7f382c0f80368b196ac4bcf0f9d9f1c1ee5e283de344444,DESKTOP_ZIP,98d29a132b008e3ef7f382c0f80368b196ac4bcf0f9d9f1c1ee5e283de344444,MATCH,RECOVERED_SEPARATE_STREAM
cetech-woocommerce-delivery-engine-1.0.0-dev.wpml.1.zip.sha256,C:\Users\Jane\Desktop\cetech-woocommerce-delivery-engine-1.0.0-dev.wpml.1.zip.sha256,121,079a1557fbb73deaba5faac68c09e3f977b2976f085424acd0950700e7ede875,DESKTOP_SIDECAR,98d29a132b008e3ef7f382c0f80368b196ac4bcf0f9d9f1c1ee5e283de344444,MATCH,RECOVERED_SEPARATE_STREAM
cetech-woocommerce-delivery-engine-1.0.0-rc.9.zip,C:\Users\Jane\Desktop\cetech-woocommerce-delivery-engine-1.0.0-rc.9.zip,1380751,08862b8c048b92dd0ff42ded7eff29c3a5e42a42c984ac43e0a603cef50d96fd,DESKTOP_ZIP,08862b8c048b92dd0ff42ded7eff29c3a5e42a42c984ac43e0a603cef50d96fd,MATCH,CANONICAL_LINEAGE
